Allvalues,Relevant
compacted,compacted
deciduous,deciduous
decorticated,decorticated
NA,fiber
NA,fibers
NA,fibre
NA,fibres
fibrous,fibrous
fissured,fissured
NA,flakes
furrowed,furrowed
furrows,furrows
irregular,irregular
bark,NA
branchlets,NA
connate,NA
crown,NA
entire,NA
glands,glands
glandular,glandular
glaucous,glaucous
iron,NA
mallees,mallees
minnirichi,minnirichi
powdery,powdery
scars,NA
scribbles,scribbles
shrub,shrub
NA,peel
peppermint,peppermint
persistent,persistent
NA,ribbon
NA,ribbons
ribbony,ribbony
NA,rough
NA,shed
NA,smooth
stocking,stocking
stringy,stringy
NA,stringybark
NA,strips
tessellated,tessellated
